,代码,名称,行业,质押比例(%),质押股数(万股),质押市值(亿元),质押笔数,无限售股质押数(股),限售股质押数(股),近年来涨跌幅(%),日期
2686,300579,数字认证,软件服务,0.59,105.47,4116.4941,4,105.47,0,128.21894964,2019-09-12T00:00:00
2687,300572,安车检测,仪器仪表,5.5,1065.6,58959.648,1,0,1065.6,86.37832597,2019-09-12T00:00:00
2688,300571,平治信息,电子信息,19.61,2362.41,123317.802,11,454.91,1907.5,-12.72822159,2019-09-12T00:00:00
2689,300570,太辰光,电子元件,16.25,3738.33,125720.0379,8,0.33,3738,107.90637861,2019-09-12T00:00:00
2690,300575,中旗股份,农药兽药,9.38,1238.51,29971.942,4,0.11,1238.4,27.05906173,2019-09-12T00:00:00
2691,300573,兴齐眼药,医药制造,2.15,177,14591.88,3,0,177,435.93754103,2019-09-12T00:00:00
2692,300566,激智科技,电子元件,39.56,6139.67,136177.8806,46,3002.07,3137.6,43.55629953,2019-09-12T00:00:00
2693,300565,科信技术,通讯行业,26.33,5476.67,96882.2923,45,0.19,5476.48,35.65950918,2019-09-12T00:00:00
2694,300569,天能重工,输配电气,21.35,4804.45,85519.21,11,1140.18,3664.27,113.55290974,2019-09-12T00:00:00
2695,300568,星源材质,材料行业,15,3455.11,102685.8692,24,303.11,3152,12.69021163,2019-09-12T00:00:00
2696,300567,精测电子,专用设备,24.64,6046.99,307489.4415,15,612.8,5434.19,10.24763424,2019-09-12T00:00:00
2697,300561,汇金科技,软件服务,0,0.15,2.5065,1,0.15,0,49.4587458,2019-09-12T00:00:00
2698,300560,中富通,通讯行业,27.59,5222.91,101846.745,7,164.65,5058.26,29.30898661,2019-09-12T00:00:00
2699,300559,佳发教育,软件服务,33.89,9029.6,262761.36,9,3275.26,5754.34,33.26554177,2019-09-12T00:00:00
2700,300563,神宇股份,电子元件,8,640.05,20993.64,3,100.05,540,30.00256939,2019-09-12T00:00:00
2701,300562,乐心医疗,医疗行业,33.66,6388.68,85097.2176,10,1200.05,5188.63,0.17590016,2019-09-12T00:00:00
2702,300557,理工光科,仪器仪表,0.01,0.31,9.0272,5,0.31,0,16.4011679,2019-09-12T00:00:00
2703,300556,丝路视觉,软件服务,17.13,1972.72,36100.776,12,92.72,1880,-4.16649569,2019-09-12T00:00:00
