,f1,f2,今日涨幅,价格变动,成交量,成交额,f7,换手,市盈(动),量比,f11,f12,f13,名字,今日最高价,今日最低价,今日开盘价,昨天收盘价,流通市值,总市值,f22,市净率,f24,f25,主力净流入,市盈率,f128,f140,f141,f136,f152,gxl
2951,2,71.05,-0.71,-0.51,43945,310552544.0,2.89,1.68,88.78,0.82,0.03,300601.SZ,0,康泰生物,71.9,69.83,71.14,71.56,45842945656,18634968777,0.07,22.82,41.45,99.97,-11843402.0,112.5,-,-,-,-,2,0.035186488388458836
826,2,14.22,1.14,0.16,37101,52554728.0,2.63,1.55,84.06,1.04,0.07,002338.SZ,0,奥普光电,14.34,13.97,14.15,14.06,3412800000,3412494981,0.0,4.21,3.19,28.57,1724310.0,85.61,-,-,-,-,2,0.035161744022503515
23,2,25.63,10.0,2.33,249806,593985184.0,13.65,39.84,483.44,1.6,0.0,603738.SH,1,泰晶科技,25.63,22.45,22.85,23.3,4169008171,1607033371,0.0,6.42,49.01,104.06,-5601721.0,304.11,-,-,-,-,2,0.035115099492781895
1142,2,2.85,0.71,0.02,199467,57962182.0,5.65,2.16,48.1,3.2,0.0,300135.SZ,0,宝利国际,3.0,2.84,2.99,2.83,2626560000,2626560000,0.0,2.13,-8.95,7.55,-3047565.0,60.26,-,-,-,-,2,0.03508771929824561
1851,2,32.81,0.03,0.01,20788,68601983.0,2.32,6.75,52.67,0.71,0.06,300563.SZ,0,神宇股份,33.36,32.6,32.85,32.8,2624800000,1009858990,0.06,5.25,4.42,34.08,-2052274.0,57.65,-,-,-,-,2,0.03505028954587015
1310,2,5.71,0.53,0.03,137689,78296886.0,1.94,6.77,120.46,0.78,0.18,603335.SH,1,迪生力,5.75,5.64,5.67,5.68,2444705666,1161268966,0.0,4.34,6.93,22.53,-4281530.0,230.74,-,-,-,-,2,0.03502626970227671
3519,2,42.92,-1.56,-0.68,40069,173218114.0,3.21,7.55,15.39,0.58,-0.05,300702.SZ,0,天宇股份,44.1,42.7,43.87,43.6,7821707494,2277211891,0.05,4.62,27.28,97.79,-21753072.0,20.74,-,-,-,-,2,0.03494874184529357
2434,2,25.87,-0.27,-0.07,42767,110892376.0,2.62,9.65,-90.96,0.91,-0.04,300700.SZ,0,岱勒新材,26.26,25.58,25.84,25.94,2131688000,1146235025,0.04,4.08,21.23,3.94,-5572039.0,-82.49,-,-,-,-,2,0.03478933127174333
3303,2,8.64,-1.14,-0.1,93033,80970721.0,2.06,1.45,-145.58,0.55,0.0,300208.SZ,0,青岛中程,8.81,8.63,8.66,8.74,6475464000,5527807857,0.0,3.11,12.65,51.31,-2554597.0,-277.98,-,-,-,-,2,0.03472222222222222
1255,2,8.64,0.58,0.05,52191,45065541.0,3.49,1.71,22.79,0.36,-0.46,002822.SZ,0,中装建设,8.75,8.45,8.55,8.59,5184000000,2644358400,0.47,2.3,35.0,67.77,-3340622.0,25.96,-,-,-,-,2,0.03472222222222222
65,2,14.42,6.74,0.91,312170,454869600.0,9.62,14.24,267.33,1.79,0.28,300386.SZ,0,飞天诚信,14.86,13.56,13.56,13.51,6028194480,3161593652,0.0,3.45,11.09,43.63,77250454.0,55.85,-,-,-,-,2,0.03467406380027739
1601,2,7.22,0.28,0.02,132000,96041182.0,3.33,1.62,35.85,1.05,0.14,000930.SZ,0,中粮生化,7.42,7.18,7.36,7.2,13339992402,5865608250,0.14,1.41,-6.96,-2.43,-6140004.0,43.83,-,-,-,-,2,0.03462603878116344
1151,2,13.0,0.7,0.09,206327,266695410.0,2.63,3.49,30.87,0.64,0.31,300114.SZ,0,中航电测,13.05,12.71,12.92,12.91,7679886487,7679886487,0.0,4.95,40.24,83.62,-710267.0,40.49,-,-,-,-,2,0.03461538461538462
3547,2,10.12,-1.65,-0.17,475135,482357264.0,3.98,8.83,75.07,0.45,-0.3,000058.SZ,0,深 赛 格,10.38,9.97,10.13,10.29,12504841240,5444960782,0.0,6.58,74.48,70.95,-43732081.0,928.1,-,-,-,-,2,0.03458498023715415
1153,2,72.4,0.7,0.5,32396,234363147.0,2.84,8.12,54.44,0.62,0.17,300638.SZ,0,广和通,73.49,71.45,72.07,71.9,8774054640,2888760000,0.03,17.31,36.89,164.81,-11575165.0,60.43,-,-,-,-,2,0.03453038674033149
