,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f20,f21,f22,f23,f24,f25,f62,f115,f128,f140,f141,f136,f152,gxl
1170,2,3.94,-1.75,-0.07,35230,13902989.0,2.49,0.1,0.0,1.25,0.51,000761.SZ,0,本钢板材,4.02,3.92,4.02,4.01,15268963836,13692963836,0.51,0.79,-7.73,19.03,-1020935.0,20.84,-,-,-,-,2,0.12690355329949238
1171,2,29.26,-1.75,-0.52,98247,284629920.0,5.71,9.06,0.0,0.64,0.24,002902.SZ,0,铭普光磁,29.71,28.01,29.71,29.78,6144600000,3172149750,0.03,5.77,9.55,85.9,-42271262.0,210.6,-,-,-,-,2,0.017088174982911822
1172,2,10.12,-1.75,-0.18,41435,41861086.0,3.79,2.4,0.0,1.01,0.8,300192.SZ,0,科斯伍德,10.31,9.92,10.31,10.3,2454606000,1744325593,0.3,3.18,8.7,15.79,-3493093.0,59.89,-,-,-,-,2,0.0
1173,2,51.09,-1.75,-0.91,19062,98622503.0,4.31,2.76,0.0,0.77,-0.02,300571.SZ,0,平治信息,52.94,50.7,52.0,52.0,6154144554,3527748969,0.0,11.9,21.35,16.7,-8271958.0,27.3,-,-,-,-,2,0.03914660403210021
1174,2,26.38,-1.75,-0.47,5567,14765821.0,2.53,1.6,0.0,0.7,0.08,603200.SH,1,上海洗霸,26.97,26.29,26.85,26.85,2672559779,918808277,0.04,3.44,-2.08,4.85,728313.0,35.31,-,-,-,-,2,0.12509476876421532
1176,2,21.79,-1.76,-0.39,5146,11315615.0,2.43,1.38,0.0,0.87,-0.05,603665.SH,1,康隆达,22.24,21.7,22.24,22.18,2179000000,812131473,0.0,2.13,-13.22,-16.51,-1529371.0,25.92,-,-,-,-,2,0.09178522257916476
1133,2,3.5,-1.69,-0.06,84739,29717950.0,3.93,0.86,0.0,0.84,-0.28,600792.SH,1,云煤能源,3.58,3.44,3.55,3.56,3464732600,3464732600,0.0,1.08,-11.17,30.6,-622708.0,11.94,-,-,-,-,2,0.0
1177,2,10.05,-1.76,-0.18,9433,9528490.0,3.23,0.45,0.0,0.78,-0.1,603311.SH,1,金海环境,10.31,9.98,10.23,10.23,2110500000,2110500000,-0.1,2.69,-2.33,0.7,395964.0,31.11,-,-,-,-,2,0.14925373134328357
1178,2,15.6,-1.76,-0.28,325936,512847200.0,5.54,1.5,0.0,1.16,0.06,601231.SH,1,环旭电子,16.15,15.27,15.77,15.88,33944407848,33944407848,0.06,3.63,30.87,76.47,-13898875.0,28.84,-,-,-,-,2,0.10512820512820513
1179,2,17.82,-1.76,-0.32,7789,13888526.0,2.92,1.07,0.0,0.61,0.17,002760.SZ,0,凤形股份,18.14,17.61,18.14,18.14,1568160000,1293104807,0.06,2.9,-6.01,20.41,-389555.0,32.27,-,-,-,-,2,0.0
1180,2,8.35,-1.76,-0.15,34536,28977504.0,3.18,2.97,0.0,0.96,0.0,603321.SH,1,梅轮电梯,8.54,8.27,8.47,8.5,2563450000,969435000,0.36,2.47,11.63,18.78,-3161227.0,66.39,-,-,-,-,2,0.059880239520958084
1181,2,36.67,-1.77,-0.66,3553,13106691.0,2.84,1.15,0.0,0.51,-0.08,603208.SH,1,江山欧派,37.66,36.6,37.4,37.33,2963524957,1130024957,-0.35,2.62,8.23,40.88,-447828.0,16.79,-,-,-,-,2,0.15816743932369784
1182,2,16.66,-1.77,-0.3,14843,24781991.0,2.42,1.68,0.0,1.08,-0.3,603365.SH,1,水星家纺,16.98,16.57,16.98,16.96,4442722200,1475809440,-0.12,2.03,-9.41,15.45,-3024624.0,14.81,-,-,-,-,2,0.42016806722689076
1183,2,4.44,-1.77,-0.08,102607,45705465.0,2.65,0.47,0.0,1.08,0.0,002807.SZ,0,江阴银行,4.53,4.41,4.52,4.52,9643591520,9637033586,-0.22,0.9,-8.07,5.97,-3242265.0,10.82,-,-,-,-,2,0.1126126126126126
1184,2,9.99,-1.77,-0.18,66873,67015485.0,1.67,0.44,0.0,0.98,0.1,000039.SZ,0,中集集团,10.12,9.95,10.12,10.17,35791429563,15203968013,0.0,1.06,-7.24,19.5,-5143111.0,11.56,-,-,-,-,2,0.5505505505505506
1185,2,8.31,-1.77,-0.15,13399,11214512.0,4.26,0.67,0.0,1.04,0.0,603022.SH,1,新通联,8.59,8.23,8.5,8.46,1662000000,1662000000,0.0,2.66,-2.58,23.11,-1290610.0,64.59,-,-,-,-,2,0.05655836341756919
1186,2,14.39,-1.77,-0.26,41178,59908955.0,3.62,0.52,0.0,1.12,0.0,601811.SH,1,新华文轩,14.83,14.3,14.65,14.65,17754971990,11395497121,-0.07,2.04,18.24,59.71,-1561807.0,16.71,-,-,-,-,2,0.20847810979847115
1187,2,4.42,-1.78,-0.08,244035,108693359.0,2.67,1.68,0.0,1.25,0.0,600261.SH,1,阳光照明,4.53,4.41,4.49,4.5,6418294951,6418294951,0.0,1.74,19.78,35.58,1117237.0,10.97,-,-,-,-,2,0.3393665158371041
1188,2,7.18,-1.78,-0.13,20840,15002388.0,3.28,0.45,0.0,0.75,0.14,002616.SZ,0,长青集团,7.35,7.11,7.35,7.31,5326720974,3298542576,0.14,2.41,-3.36,-1.64,-486631.0,23.02,-,-,-,-,2,0.0
1162,2,24.88,-1.74,-0.44,29119,72905969.0,2.37,0.39,0.0,0.68,-0.08,600885.SH,1,宏发股份,25.4,24.8,25.37,25.32,18529667414,18529667414,-0.16,4.05,2.94,11.72,-11930756.0,27.0,-,-,-,-,2,0.11655948553054662
1161,2,3.96,-1.74,-0.07,40776,16255500.0,2.48,0.16,0.0,1.37,0.0,000539.SZ,0,粤电力Ａ,4.04,3.94,4.04,4.03,20791124585,10113471878,0.25,0.86,-6.38,-13.35,563286.0,34.24,-,-,-,-,2,0.15151515151515152
1160,2,5.11,-1.73,-0.09,396073,206784080.0,8.65,4.73,0.0,1.45,-0.2,002512.SZ,0,达华智能,5.52,5.07,5.2,5.2,5597423135,4277516292,0.0,3.46,7.35,-3.77,1643098.0,-3.77,-,-,-,-,2,0.0
1159,2,19.45,-1.72,-0.34,72670,143886191.0,4.45,15.6,0.0,1.01,-0.51,300554.SZ,0,三超新材,20.28,19.4,19.61,19.79,1820520000,906160426,0.05,3.66,13.41,4.85,-15187.0,-82.3,-,-,-,-,2,0.05141388174807198
1134,2,1.75,-1.69,-0.03,54746,9618197.0,2.25,0.36,0.0,1.09,-0.57,600726.SH,1,*ST华源,1.78,1.74,1.78,1.78,3441681518,2685681514,-0.57,2.15,-4.89,-24.24,-1192627.0,-4.89,-,-,-,-,2,0.0
1135,2,4.66,-1.69,-0.08,102093,47788967.0,1.69,0.34,0.0,1.14,-0.43,000598.SZ,0,兴蓉环境,4.73,4.65,4.72,4.74,13915778685,13915778685,-0.21,1.29,-0.85,17.68,-2242499.0,13.23,-,-,-,-,2,0.14163090128755365
1136,2,111.75,-1.69,-1.92,10788,121357172.0,4.12,0.52,0.0,0.78,-0.04,300454.SZ,0,深信服,114.79,110.11,113.54,113.67,45047766000,23363125500,-0.06,12.92,26.56,24.93,-10067115.0,82.62,-,-,-,-,2,0.013422818791946308
1137,2,4.07,-1.69,-0.07,68053,28038929.0,3.38,1.03,0.0,1.25,-0.49,600836.SH,1,界龙实业,4.19,4.05,4.14,4.14,2697405003,2697405003,-0.25,3.2,-4.46,7.96,-2426.0,-54.2,-,-,-,-,2,0.0
1138,2,5.23,-1.69,-0.09,189950,99434525.0,2.07,1.88,0.0,0.45,0.0,300158.SZ,0,振东制药,5.32,5.21,5.32,5.32,5402875872,5270954415,0.0,0.99,0.97,37.27,-23912721.0,-40.5,-,-,-,-,2,0.0
1139,2,20.33,-1.69,-0.35,21754,44242995.0,2.95,0.56,0.0,0.6,0.3,603989.SH,1,艾华集团,20.75,20.14,20.71,20.68,7928743953,7928743953,0.05,4.15,7.0,2.47,-1760674.0,26.3,-,-,-,-,2,0.14756517461878998
1140,2,6.97,-1.69,-0.12,18579,13012989.0,3.67,0.79,0.0,1.51,0.29,600883.SH,1,博闻科技,7.13,6.87,7.08,7.09,1645533360,1645533360,0.14,2.51,0.14,15.21,1027681.0,225.6,-,-,-,-,2,0.028694404591104738
1141,2,1.74,-1.69,-0.03,54690,9568567.0,2.26,0.37,0.0,1.01,0.0,600396.SH,1,*ST金山,1.77,1.73,1.76,1.77,2562509862,2562509862,0.0,1.3,-5.43,-9.84,-1283431.0,-4.73,-,-,-,-,2,0.0
1142,2,2.89,-1.7,-0.05,50412,14614436.0,2.04,0.26,0.0,1.08,0.0,600399.SH,1,ST抚钢,2.94,2.88,2.93,2.94,5699369000,5699369000,0.0,1.33,-11.89,15.6,-1616185.0,2.03,-,-,-,-,2,0.0
1143,2,11.56,-1.7,-0.2,72531,83488986.0,3.06,0.8,0.0,0.75,0.17,000921.SZ,0,海信家电,11.77,11.41,11.77,11.76,15753105277,10428564445,-0.09,2.1,-3.91,70.75,-1330846.0,10.19,-,-,-,-,2,0.2621107266435986
1144,2,16.76,-1.7,-0.29,17115,28837550.0,2.4,2.76,0.0,0.63,-0.18,002907.SZ,0,华森制药,17.06,16.65,17.01,17.05,6729914312,1038457159,0.0,7.3,-6.68,-10.9,-1380871.0,40.26,-,-,-,-,2,0.02088305489260143
1145,2,9.82,-1.7,-0.17,158249,156671397.0,4.8,2.22,0.0,1.1,0.0,000802.SZ,0,北京文化,10.19,9.71,9.99,9.99,7030140504,6984845754,0.0,1.41,-4.38,-10.81,-6923604.0,31.11,-,-,-,-,2,0.06109979633401222
1146,2,3.46,-1.7,-0.06,76632,26730943.0,2.27,0.26,0.0,1.1,-0.29,000959.SZ,0,首钢股份,3.53,3.45,3.52,3.52,18301288016,10264180157,0.0,0.69,-4.95,-7.24,-1116650.0,9.24,-,-,-,-,2,0.0
1147,2,5.76,-1.71,-0.1,413038,239486306.0,2.9,0.65,0.0,1.02,0.0,000157.SZ,0,中联重科,5.88,5.71,5.83,5.86,45222930818,36429241202,0.0,1.29,0.88,74.02,-37896903.0,12.12,-,-,-,-,2,0.4340277777777778
1148,2,6.91,-1.71,-0.12,24789,17219295.0,2.13,0.35,0.0,0.99,-0.14,600168.SH,1,武汉控股,7.04,6.89,7.03,7.03,4903126572,4903126572,-0.14,0.97,-5.47,22.74,-197615.0,15.82,-,-,-,-,2,0.17221418234442834
