,代码,名称,股息率,送转总比例,送股比例,转股比例,现金分红比例,预案公告日
517,709,河钢股份,0.0340142715231788,0.0,-,-,1.027231,2019
2415,2318,久立特材,0.0339750849377123,0.0,-,-,3.0,2019
2261,601633,长城汽车,0.0339181286549708,0.0,-,-,2.9,2019
97,600642,申能股份,0.0338983050847458,0.0,-,-,2.0,2019
1299,600638,新黄浦,0.0338645418326693,0.0,-,-,2.55,2019
91,603306,华懋科技,0.0337609723160027,0.0,-,-,5.0,2019
2121,601965,中国汽研,0.0336927223719677,0.0,-,-,2.5,2019
363,700,模塑科技,0.0335051546391753,0.0,-,-,1.3,2019
1516,672,上峰水泥,0.0334448160535117,0.0,-,-,4.0,2019
495,603808,歌力思,0.033291058972733,0.0,-,-,5.25,2019
490,2091,江苏国泰,0.0332225913621262,0.0,-,-,2.0,2019
1190,600674,川投能源,0.0328947368421053,0.0,-,-,3.0,2019
137,600105,永鼎股份,0.0328227571115974,0.0,-,-,1.5,2019
2456,600660,福耀玻璃,0.0327940533449934,0.0,-,-,7.5,2019
2225,600655,豫园股份,0.0327669902912621,0.0,-,-,2.7,2019
873,2559,亚威股份,0.0327510917030568,5.0,-,5.0,3.0,2019
1334,603608,天创时尚,0.0326797385620915,0.0,-,-,2.5,2019
532,300382,斯莱克,0.0326797385620915,0.0,-,-,2.0,2019
2636,2677,浙江美大,0.0326544943820225,0.0,-,-,4.65,2019
927,600623,华谊集团,0.0324594257178527,0.0,-,-,2.6,2019
2105,601699,潞安环能,0.0323671497584541,0.0,-,-,2.68,2019
609,300335,迪森股份,0.0323624595469256,0.0,-,-,2.0,2019
72,2775,文科园林,0.032258064516129,0.0,-,-,2.0,2019
1571,603920,世运电路,0.0321402483564646,0.0,-,-,4.4,2019
2349,600502,安徽建工,0.0321199143468951,0.0,-,-,1.5,2019
108,603980,吉华集团,0.0320284697508897,4.0,-,4.0,4.5,2019
717,600636,三爱富,0.0319792566983578,0.0,-,-,3.7,2019
379,2553,南方轴承,0.0319488817891374,0.0,-,-,2.0,2019
1107,600162,香江控股,0.0319148936170213,0.0,-,-,0.75,2019
2504,423,东阿阿胶,0.0317562220824159,0.0,-,-,10.095303,2019
1786,2372,伟星新材,0.0317292437863564,2.0,-,2.0,6.0,2019
1221,603968,醋化股份,0.0316656111462951,0.0,-,-,5.0,2019
2334,600569,安阳钢铁,0.0316455696202532,0.0,-,-,1.0,2019
278,600035,楚天高速,0.0315186246418338,0.0,-,-,1.1,2019
2093,600056,中国医药,0.0314474256707759,0.0,-,-,4.3366,2019
1202,603809,豪能股份,0.0314465408805031,4.0,-,4.0,5.0,2019
382,2563,森马服饰,0.03125,0.0,-,-,3.5,2019
1282,603889,新澳股份,0.03125,3.0,-,3.0,3.0,2019
2661,55,方大集团,0.03125,0.0,-,-,2.0,2019
1180,600755,厦门国贸,0.03125,0.0,-,-,2.7,2019
2253,600865,百大集团,0.03125,0.0,-,-,2.0,2019
1304,603239,浙江仙通,0.0312174817898023,0.0,-,-,3.0,2019
1396,603988,中电电机,0.0311993517017828,0.0,-,-,3.85,2019
1873,600068,葛洲坝,0.0311958405545927,0.0,-,-,1.8,2019
2088,900,现代投资,0.0311850311850312,0.0,-,-,1.5,2019
2651,2315,焦点科技,0.0310945273631841,0.0,-,-,5.0,2019
1976,591,太阳能,0.031044776119403,0.0,-,-,1.04,2019
308,2543,万和电气,0.031024531024531,3.0,-,3.0,4.3,2019
1774,600908,无锡银行,0.0309810671256454,0.0,-,-,1.8,2019
998,601101,昊华能源,0.0309446254071661,0.0,-,-,1.9,2019
1338,601997,贵阳银行,0.0309358081979892,4.0,-,4.0,4.0,2019
1853,2948,青岛银行,0.0308641975308642,0.0,-,-,2.0,2019
272,603626,科森科技,0.030826140567201,0.0,-,-,2.5,2019
2175,2534,杭锅股份,0.0308166409861325,0.0,-,-,2.0,2019
48,2394,联发股份,0.0307692307692308,0.0,-,-,3.0,2019
1372,601366,利群股份,0.0307692307692308,0.0,-,-,2.0,2019
1889,719,中原传媒,0.0307125307125307,0.0,-,-,2.5,2019
2357,601588,北辰实业,0.030690537084399,0.0,-,-,1.2,2019
1642,600563,法拉电子,0.0306603773584906,0.0,-,-,13.0,2019
1589,1965,招商公路,0.0306024096385542,0.0,-,-,2.54,2019
1965,601126,四方股份,0.0305841924398625,0.0,-,-,1.78,2019
117,30,富奥股份,0.0304878048780488,0.0,-,-,1.5,2019
96,603908,牧高笛,0.0304878048780488,0.0,-,-,7.5,2019
2060,559,万向钱潮,0.0304878048780488,0.0,-,-,2.0,2019
858,2775,文科园林,0.0302571860816944,0.0,-,-,2.0,2019
703,600901,江苏租赁,0.0302114803625378,0.0,-,-,2.0,2019
2237,2532,新界泵业,0.0302114803625378,0.0,-,-,2.0,2019
2202,600000,浦发银行,0.0301464254952627,0.0,-,-,3.5,2019
297,600053,九鼎投资,0.0301057770545159,0.0,-,-,7.4,2019
1670,603801,志邦家居,0.0299965120334845,4.0,-,4.0,8.6,2019
2641,2099,海翔药业,0.02997002997003,0.0,-,-,3.0,2019
448,603001,奥康国际,0.0299102691924227,0.0,-,-,3.0,2019
1243,601369,陕鼓动力,0.0298953662182362,0.0,-,-,2.0,2019
1971,531,穗恒运A,0.0298295454545455,0.0,-,-,2.1,2019
2414,600386,北巴传媒,0.029810298102981,0.0,-,-,1.1,2019
2139,2301,齐心集团,0.0297914597815293,0.0,-,-,3.0,2019
2438,2585,双星新材,0.029673590504451,0.0,-,-,2.0,2019
2282,600859,王府井,0.0296156269691241,0.0,-,-,4.7,2019
606,2508,老板电器,0.0295748613678373,0.0,-,-,8.0,2019
1262,600863,内蒙华电,0.0295384615384615,0.0,-,-,0.96,2019
